County,PrecinctName,Registration,PartyName,VoteCount,Priority
McHENRY,Algonquin 68,1475,Democrat,0,
McHENRY,Algonquin 40,745,Democrat,2,
McHENRY,Algonquin 40,745,Democrat,0,
McHENRY,Algonquin 40,745,Democrat,17,
McHENRY,Algonquin 40,745,Democrat,1,
McHENRY,Algonquin 40,745,Democrat,1,
McHENRY,Algonquin 40,745,Democrat,27,
McHENRY,Algonquin 40,745,Democrat,38,
McHENRY,Algonquin 40,745,Democrat,0,
McHENRY,Algonquin 40,745,Democrat,2,
McHENRY,Algonquin 40,745,Democrat,12,
McHENRY,Algonquin 32,753,Democrat,2,
McHENRY,Algonquin 32,753,Democrat,4,
McHENRY,Algonquin 32,753,Democrat,7,
McHENRY,Algonquin 32,753,Democrat,6,
McHENRY,Algonquin 32,753,Democrat,0,
McHENRY,Algonquin 32,753,Democrat,26,
McHENRY,Algonquin 32,753,Democrat,42,
McHENRY,Algonquin 32,753,Democrat,0,
McHENRY,Algonquin 32,753,Democrat,1,
McHENRY,Algonquin 32,753,Democrat,8,
McHENRY,Algonquin 38,901,Democrat,2,
McHENRY,Algonquin 38,901,Democrat,2,
McHENRY,Algonquin 38,901,Democrat,17,
McHENRY,Algonquin 38,901,Democrat,7,
McHENRY,Algonquin 38,901,Democrat,0,
McHENRY,Algonquin 38,901,Democrat,34,
McHENRY,Algonquin 38,901,Democrat,37,
McHENRY,Algonquin 38,901,Democrat,0,
McHENRY,Algonquin 38,901,Democrat,5,
McHENRY,Algonquin 38,901,Democrat,13,
McHENRY,Algonquin 41,1302,Democrat,8,
McHENRY,Algonquin 41,1302,Democrat,0,
McHENRY,Algonquin 41,1302,Democrat,23,
McHENRY,Algonquin 41,1302,Democrat,14,
McHENRY,Algonquin 41,1302,Democrat,9,
McHENRY,Algonquin 41,1302,Democrat,44,
McHENRY,Algonquin 41,1302,Democrat,56,
McHENRY,Algonquin 41,1302,Democrat,0,
McHENRY,Algonquin 41,1302,Democrat,0,
McHENRY,Algonquin 41,1302,Democrat,14,
DuPAGE,Wayne 22,799,Democrat,3,
DuPAGE,Wayne 22,799,Democrat,0,
DuPAGE,Wayne 22,799,Democrat,17,
DuPAGE,Wayne 22,799,Democrat,12,
DuPAGE,Wayne 22,799,Democrat,17,
DuPAGE,Wayne 22,799,Democrat,3,
DuPAGE,Wayne 22,799,Democrat,12,
DuPAGE,Wayne 22,799,Democrat,0,
DuPAGE,Wayne 22,799,Democrat,9,
DuPAGE,Wayne 22,799,Democrat,5,
DuPAGE,Bloomingdale 89,614,Democrat,3,
DuPAGE,Bloomingdale 89,614,Democrat,0,
DuPAGE,Bloomingdale 89,614,Democrat,7,
DuPAGE,Bloomingdale 89,614,Democrat,4,
DuPAGE,Bloomingdale 89,614,Democrat,14,
DuPAGE,Bloomingdale 89,614,Democrat,12,
DuPAGE,Bloomingdale 89,614,Democrat,17,
DuPAGE,Bloomingdale 89,614,Democrat,1,
DuPAGE,Bloomingdale 89,614,Democrat,0,
DuPAGE,Bloomingdale 89,614,Democrat,5,
DuPAGE,Winfield 2,790,Democrat,5,
DuPAGE,Winfield 2,790,Democrat,0,
DuPAGE,Winfield 2,790,Democrat,5,
DuPAGE,Winfield 2,790,Democrat,16,
DuPAGE,Winfield 2,790,Democrat,20,
DuPAGE,Winfield 2,790,Democrat,1,
DuPAGE,Winfield 2,790,Democrat,7,
DuPAGE,Winfield 2,790,Democrat,34,
DuPAGE,Winfield 2,790,Democrat,4,
DuPAGE,Winfield 2,790,Democrat,11,
